2024-11-27 20:51:00.949 [info] Log level: Info
2024-11-27 20:51:00.949 [info] Validating found git in: "git"
2024-11-27 20:51:00.949 [info] Using git "2.44.0" from "git"
2024-11-27 20:51:00.949 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:00.949 [info] > git rev-parse --show-toplevel [4ms]
2024-11-27 20:51:01.011 [info] > git rev-parse --show-toplevel [57ms]
2024-11-27 20:51:01.038 [info] > git rev-parse --show-toplevel [2ms]
2024-11-27 20:51:01.061 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.069 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.077 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.083 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.090 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:51:01.098 [info] > git rev-parse --show-toplevel [2ms]
2024-11-27 20:51:01.105 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.156 [info] > git rev-parse --show-toplevel [42ms]
2024-11-27 20:51:01.179 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.185 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.193 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.202 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.210 [info] > git rev-parse --show-toplevel [2ms]
2024-11-27 20:51:01.220 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.228 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.237 [info] > git rev-parse --show-toplevel [4ms]
2024-11-27 20:51:01.256 [info] > git rev-parse --show-toplevel [9ms]
2024-11-27 20:51:01.265 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.275 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.284 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.290 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:51:01.297 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.304 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.310 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.315 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:51:01.323 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.331 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.339 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.346 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:51:01.355 [info] > git rev-parse --show-toplevel [2ms]
2024-11-27 20:51:01.367 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.376 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.384 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:51:01.391 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.398 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.407 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.416 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.424 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.431 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.439 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.449 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:51:01.456 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.465 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:51:01.474 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.481 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:51:01.490 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.497 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:51:01.504 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.511 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:51:01.521 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 21:49:04.358 [info] > git rev-parse --show-toplevel [1ms]
